Cons.,Title ,Elsevier URL [This data not included in source document]
1,Acta de Investigación Psicológica,http://www.journals.elsevier.com/acta-de-investigacion-psicologica/
2,Acta Poética,http://www.journals.elsevier.com/acta-poetica/
3,Acta Sociológica,http://www.journals.elsevier.com/acta-sociologica/
4,Anales de Antropología,http://www.journals.elsevier.com/anales-de-antropologia/
5,"Anuario de Letras, Lingüística y Filología",http://www.journals.elsevier.com/anuario-de-letras/
6,Anuario Mexicano de Derecho Internacional,http://www.journals.elsevier.com/anuario-mexicano-de-derecho-internacional/
7,Atmósfera,http://www.journals.elsevier.com/atmosfera/
8,Boletín Mexicano de Derecho Comparado,http://www.journals.elsevier.com/boletin-mexicano-de-derecho-comparado/
9,Contaduría y Administración,http://www.journals.elsevier.com/contaduria-y-administracion/
10,Cuestiones Constitucionales,http://www.journals.elsevier.com/cuestiones-constitucionales/
11,Economía Informa,http://www.journals.elsevier.com/economia-informa/
12,Economía UNAM,http://www.journals.elsevier.com/economia-unam/
13,Educación Química,http://www.journals.elsevier.com/educacion-quimica/
14,Enfermería Universitaria,http://www.journals.elsevier.com/enfermeria-universitaria/
15,Estudios de Cultura Maya,http://www.journals.elsevier.com/estudios-de-cultura-maya/
16,Estudios de Historia Moderna y Contemporánea de México,http://www.journals.elsevier.com/estudios-de-historia-moderna-y-contemporanea-de-mexico/
17,Estudios de Historia Novohispana,http://www.journals.elsevier.com/estudios-de-historia-novohispana/
18,Estudios Políticos,http://www.journals.elsevier.com/estudios-politicos/
19,Geofísica Internacional,http://www.journals.elsevier.com/geofisica-internacional/
20,"Ingeniería, Investigación y Tecnología",http://www.journals.elsevier.com/ingenieria-investigacion-y-tecnologia/
21,"Investigación Bibliotecológica: bibliometría, archivonomía e información",http://www.journals.elsevier.com/investigacion-bibliotecologica-archivonomia-bibliotecologia-e-informacion/
22,Investigación Económica,http://www.journals.elsevier.com/investigacion-economica/
23,Investigación en Educación Médica,http://www.journals.elsevier.com/investigacion-en-educacion-medica
24,"Investigaciones Geográficas, Boletín del Instituto de Geografía",http://www.journals.elsevier.com/investigaciones-geograficas-boletin-del-instituto-de-geografia/
25,"Journal of Applied Research and Technology, JART",http://www.journals.elsevier.com/journal-of-applied-research-and-technology/
26,"Journal of Behavior, Health and Social Issues",http://www.journals.elsevier.com/journal-of-behavior-health-and-social-issues/
27,"Latinoamérica, Revista de Estudios Latinoamericanos",http://www.journals.elsevier.com/latinoamerica-revista-de-estudios-latinoamericanos/
28,Literatura Mexicana,http://www.journals.elsevier.com/literatura-mexicana/
29,Mexican Law Review,http://www.journals.elsevier.com/mexican-law-review/
30,"Norteamérica, Revista Académica del CISAN-UNAM",http://www.journals.elsevier.com/norteamerica/
31,Nova-Tellus,Not found 
32,Península,http://www.journals.elsevier.com/peninsula/
33,Perfiles Educativos,http://www.journals.elsevier.com/perfiles-educativos/
34,Problemas del Desarrollo,http://www.journals.elsevier.com/problemas-del-desarrollo/
35,Revista Iberoamericana de Educación Superior,http://www.journals.elsevier.com/revista-iberoamericana-de-educacion-superior/
36,Revista Latinoamericana de Derecho Social,http://www.journals.elsevier.com/revista-latinoamericana-de-derecho-social/
37,Revista Mexicana de Biodiversidad,http://www.journals.elsevier.com/revista-mexicana-de-biodiversidad/
38,Revista Mexicana de Ciencias Políticas y Sociales,http://www.journals.elsevier.com/revista-mexicana-de-ciencias-politicas-y-sociales/
39,Revista Mexicana de Opinión Publica,http://www.journals.elsevier.com/revista-mexicana-de-opinion-publica
40,Revista Mexicana de Ortodoncia,http://www.journals.elsevier.com/revista-mexicana-de-ortodoncia/
41,Revista Mexicana de Trastornos Alimentarios,http://www.journals.elsevier.com/revista-mexicana-de-trastornos-alimentarios/
42,Revista Odontológica Mexicana,http://www.journals.elsevier.com/revista-odontologica-mexicana/
43,Tip. Revista Especializada en Ciencias Químico-Biológicas,http://www.journals.elsevier.com/tip/
44,Veterinaria México OA,Not found
